,title,description,max_salary,pay_period,location,med_salary,min_salary,formatted_work_type,applies,remote_allowed,job_posting_url,application_url,application_type,expiry,closed_time,formatted_experience_level,skills_desc,work_type,currency,compensation_type,normalized_salary
56821,Internal Control Specialist,"JOB SUMMARY:Reporting to the Director, Internal Controls and Compliance, the Internal Controls Specialist is responsible for supporting the overall compliance requirements for the organization. This role will assist with preparing control improvement projects and support the Internal Controls team with their partnerships with external auditors, process and control owners, and other key stakeholders. RESPONSIBILITIES & KEY ACTIVITIES:Under the supervision of the Director, Internal Controls and Compliance, conduct internal controls review and operational audits in accordance with the approved internal audit plan to measure the effectiveness of system of controls for key business processes. Periodically evaluate the design and operating effectiveness of Internal Controls over Financial Reporting (ICFR) to support CEO and CFO certification as required by SOX Act and other SEC regulations.Coordinate the development and improvement of system of processes and regulations across various functional departments to align with the VinFast’s global policies and procedures framework.Evaluate audit findings, identify root causes, and develop clear, concise, practical recommendations and follow-up on timely remediation.Support new projects through identifying gaps, implementing controls, and assessing the design and operating effectiveness of controls.
KNOWLEDGE AND EXPERIENCE REQUIRED:4+ years experience in internal controls with a listed company – US or dual listed firms preferred.Big-4 accounting firms experience an plus.Bachelor’s degree in Accounting.CPA, CIA, or in process of obtaining either designation.Robust knowledge of Sarbanes-Oxley compliance requirements.Experience in review and assessment of SOC Reports to support ICFR assessment.Experience in review and assessment of Information Produced by Entities (IPEs) to support ICFR assessment.Experience and knowledge of evaluating and testing ITGCs an asset.Knowledge of application of US GAAP.Experience in SAP ERP system an asset. Excellent communication and interpersonal skills with success in working across organizations at all levels.Ability to manage and prioritize multiple projects, effective project planning in terms of resources, strategies, cost, and time with ability to meet project timelines.Demonstrated ability to build strong relationships with peers and internal and external stakeholders.Demonstrated problem-solving and critical-thinking skills with high levels of attention to detail and organization.Highly flexible and adaptable within a rapid and changing work environment with ability to work under pressure and with tight deadlines Self-motivated, reliable and follows through on commitments. Solutions focused, strong work ethic, and desire to achieve excellence.
VinFast is an Equal Opportunity Employer that does not discriminate on the basis of race, color, religion, sex (including pregnancy and gender identity), national origin, political affiliation, sexual orientation, marital status, disability, genetic information, age, membership in an employee organization, retaliation, parental status, military service, or other non-merit factor. All employment is decided based on qualifications, merit and business need.",120000.0,YEARLY,"Los Angeles, CA",,90000.0,Full-time,,,https://www.linkedin.com/jobs/view/3901941311/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1716060419000.0,,Associate,,FULL_TIME,USD,BASE_SALARY,105000.0
120236,Sales Associate Sunglass Hut,"Requisition ID: 843252

Store #: 003543 Sunglass Hut

Position:Casual Part-Time

At Sunglass Hut, we're always in the sun. You’ll find a dynamic space with endless possibilities to grow your career. We are a culture that wants to see you succeed, develop your customer expertise and care, and feel supported by people who embrace you. With us, you’ll bring warmth into the hearts and souls of our customers and the world we live in. We believe in the freedom of self-expression, inclusivity and authenticity, which is why we bring exclusive styles of high-quality fashion and performance sunglasses to all.

A world leader in the specialty sunglass retail business with over 3,000 stores worldwide, we believe in the freedom of self-expression, inclusivity and authenticity, which is why we bring exclusive styles of high-quality fashion and performance sunglasses to all.

Sunglass Hut is part of EssilorLuxottica, a global leader in the design, manufacture and distribution of ophthalmic lenses, frames and sunglasses.

GENERAL FUNCTION 

Our Sales Associates are vital to the success of Sunglass Hut. You will bring an authentic, fun and energic experience to all customers while helping them find premium quality eyewear.

Major Duties And Responsibilities

Consistently deliver sales plan and company objectives through cultivating new and existing customer relationships building brand loyalty.Confidently provides an exceptional customer experience through making a connection, attention to detail and offering a personalized and unique shopping experience resulting in customer satisfaction.Actively participates and contributes to a positive store environment, fostering strong, professional relationships with peers and management.Takes pride in the appearance of store and shows initiative to keep displays and inventory clean, attractive and organized. Secures all company assets under one’s control.Helps foster an inclusive culture by treating customers and colleagues with respect.

Basic Qualifications

High School Diploma or GEDEmbrace new technology and change with high level of accuracySelf-accountability for sales results through use of selling skills and a drive to meet goals..Strong communication skills (both oral and written)Self-Motivator with a demonstrated ability to multi-task; ability to respond flexibly in a quickly changing environment

Sunglass Hut is a part of Luxottica, N.A. Luxottica is a leader in the design, manufacture and distribution of fashion, luxury and sports eyewear.

Pay Range: 16.00 - 19.94

Employee pay is determined by multiple factors, including geography, experience, qualifications, skills and local minimum wage requirements. In addition, you may also be offered a competitive bonus and/or commission plan, which complements a first-class total rewards package. Benefits may include health care, retirement savings, paid time off/vacation, and various employee discounts.

Upon request and consistent with applicable laws, EssilorLuxottica will provide reasonable accommodations to individuals with disabilities who need assistance in the application and hiring process.  To request a reasonable accommodation, please call the Luxottica Ethics Compliance Hotline at 1-888-887-3348 (be sure to provide your name and contact information so that we may follow up in a timely manner) or email HRCompliance@luxotticaretail.com.

We are an Equal Opportunity Employer.  All qualified applicants will receive consideration for employment without regard to race, color, gender, national origin, social origin, social condition, being perceived as a victim of domestic violence, sexual aggression or stalking, religion, age, disability, sexual orientation, gender identity or expression, citizenship, ancestry, veteran or military status, marital status, pregnancy (including unlawful discrimination on the basis of a legally protected pregnancy or maternity leave), genetic information or any other characteristics protected by law. Native Americans in the US receive preference in accordance with Tribal Law.",,,"Palm Desert, CA",,,Part-time,,,https://www.linkedin.com/jobs/view/3906228709/?trk=jobs_biz_prem_srch,https://careers.essilorluxottica.com/job/Palm-Desert-Sales-Associate-Sunglass-Hut-CA-92260/1062998001/,OffsiteApply,1716155435000.0,,Entry level,,PART_TIME,,,
116415,Fundraising Associate,"Rose Gold Marketing helps you achieve your goals by engaging with your customers directly using a personalized approach. We provide a team of highly trained professionals to increase your market share. We specialize in marketing and fundraising for the best nonprofit organizations in the world, aiding in long term donor acquisition and donor retention. We are looking for a motivated Fundraiser to join our Fundraising campaign in Dallas, TX.As the world has been facing unprecedented times, we are working to make sure that these worthy causes still maintain their vital impact. Whether that is helping children or the environment, we are hiring full-time/part-time professionals ready to work hard and raise their voices.
You will be working with our dynamic team in a fast-paced street fundraising environment, securing ongoing donations that will directly support our clients’ causes. You will be a part of a growing team and be on the front lines of positive change.
What We Offer our fundraisers: • Base plus bonus compensation structure• A social, diverse, and rewarding work environment • Ongoing coaching and support and opportunities for growth into leadership roles • Inspire people to give in all communities for a worthy cause
The Ideal Candidate:• Excellent communication skills• Friendly, outgoing. persuasive, and not afraid to make connections and talk with individuals • Initiate and establish relationships with potential donors • Maintain exemplary attitude, work ethic, and skill• Value public media and community outreach • Ability to walk for 5+ hours outside every day • Previous canvassing, sales, non-profit, customer service, activist job, political campaign experience preferred",,,"Dallas, TX",,,Full-time,,,https://www.linkedin.com/jobs/view/3905868666/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1716130346000.0,,Entry level,,FULL_TIME,,,
69299,Javascript Developer- React ,"Job Title: Lead React Employee Type: Full-Time with Benefits


Responsibilities 
React Node Developer participates in software development activities on projects of high complexity working within our distribution systems delivery division In this role you will be responsible for the successful completion of technical deliverables including detailed technical design software development unit testing The Software Developer participates in the technical design development and implementation of application systems and may have customer interaction for requirement clarification or solution proposal Ensure all tasks and milestones associated with technical design development and unit testing are completed according to project management guidelines Ensure development activities are aligned with scope schedule priority and business objectives Develop code create test transactions and run tests to find errors and revise programs Perform defect analysis and debugging of service oriented web application Enhance system performance using best practices and also consider the secure development in all of the development phases Qualifications 3 to 4 years of web software development experience Demonstrated experience with designing implementing and deploying scalable and performant web applications at global large scale Demonstrated experience in configuration management DevOps automation Experience in performance testing and tuning Skill sets and technologies Must Have JS frameworks ReactJS GIT No SQL Good to Have NodeJS Groovy Bower Grunt Modern JavaScript ES2016 2017 CSS frameworks Less SASS MongoDB RabbitMQ Bitbucket Application Servers Tomcat Jetty Continuous Integration Continuous Delivery Bamboo Jenkins etc Unit testing JUnit Mockito or TestNG Karma Container technologies like Docker 
Life at Capgemini

Capgemini supports all aspects of your well-being throughout the changing stages of your life and career. For eligible employees, we offer:
• Flexible work• Healthcare including dental, vision, mental health, and well-being programs• Financial well-being programs such as 401(k) and Employee Share Ownership Plan• Paid time off and paid holidays• Paid parental leave• Family building benefits like adoption assistance, surrogacy, and cryopreservation• Social well-being benefits like subsidized back-up child/elder care and tutoring• Mentoring, coaching and learning programs• Employee Resource Groups• Disaster Relief
 
About CapgeminiCapgemini is a global leader in partnering with companies to transform and manage their business by harnessing the power of technology. The Group is guided everyday by its purpose of unleashing human energy through technology for an inclusive and sustainable future. It is a responsible and diverse organization of over 360,000 team members in more than 50 countries. With its strong 55-year heritage and deep industry expertise, Capgemini is trusted by its clients to address the entire breadth of their business needs, from strategy and design to operations, fueled by the fast evolving and innovative world of cloud, data, AI, connectivity, software, digital engineering and platforms. The Group reported in 2022 global revenues of €22 billion.
 
Get The Future You Want | www.capgemini.com
 
Disclaimer
Capgemini is an Equal Opportunity Employer encouraging diversity in the workplace. All qualified applicants will receive consideration for employment without regard to race, national origin, gender identity/expression, age, religion, disability, sexual orientation, genetics, veteran status, marital status or any other characteristic protected by law.
This is a general description of the Duties, Responsibilities and Qualifications required for this position. Physical, mental, sensory or environmental demands may be referenced in an attempt to communicate the manner in which this position traditionally is performed. Whenever necessary to provide individuals with disabilities an equal employment opportunity, Capgemini will consider reasonable accommodations that might involve varying job requirements and/or changing the way this job is performed, provided that such accommodations do not pose an undue hardship.

Capgemini is committed to providing reasonable accommodations during our recruitment process. If you need assistance or accommodation, please reach out to your recruiting contact.

Click the following link for more information on your rights as an Applicant http://www.capgemini.com/resources/equal-employment-opportunity-is-the-law",,,"Charlotte, NC",,,Full-time,10.0,,https://www.linkedin.com/jobs/view/3902806222/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1716142317000.0,,Mid-Senior level,,FULL_TIME,,,
46742,Front Office Coordinator,"Seeking a outgoing and friendly Front Office Coordinator for a business office in Arden Arcade area. It is a supportive environment, great work culture and opportunity to grow.

* Creates a welcoming environment by greeting guests, answering phone calls, directing visitors, and taking messages for employees
* Takes customer complaints or issues and pass them on to the appropriate parties
* Creates and distributes company memos through email, letters, or telephone calls
* Schedules and maintains the calendar of company executives
* Coordinates the booking and setting up of meeting rooms
* Organizes and files company documents either electronically or with a paper filing system
* Provides support for teams when necessary
All qualified applicants will receive consideration for employment without regard to race, color, national origin, age, ancestry, religion, sex, sexual orientation, gender identity, gender expression, marital status, disability, medical condition, genetic information, pregnancy, or military or veteran status. We consider all qualified applicants, including those with criminal histories, in a manner consistent with state and local laws, including the City of Los Angeles' Fair Chance Initiative for Hiring Ordinance.",20.0,HOURLY,"Sacramento, CA",,20.0,Full-time,4.0,,https://www.linkedin.com/jobs/view/3900978159/?trk=jobs_biz_prem_srch,,SimpleOnsiteApply,1715987399000.0,,Entry level,,FULL_TIME,USD,BASE_SALARY,41600.0
16223,Part Time - Fulfillment Associate - Flexible,"What You Will Do

All Lowe’s associates deliver quality customer service while maintaining a store that is clean, safe, and stocked with the products customers need. As a Fulfillment Associate, this means:

 Being friendly and professional, and responding quickly to customer and associate needs.  Ensuring merchandise is in good condition, accurately accounted for, and delivered to customers on-time.  Pulling merchandise safely for loading onto delivery trucks and helping customers and staff move merchandise safely. 

The Fulfillment Associate assists customers, delivery team members, and Installation PROviders by pulling and preparing orders prior to pick up, replenishing shelves for next customers and loading merchandise into their vehicles. To meet the needs of our customers, this associate must feel comfortable engaging in conversations with other associates to ensure correct products are delivered on time. The associate helps ensure that the right products are delivered to our customers by accurately pulling, inspecting and preparing merchandise for delivery or pick up, as well as verifying invoices against loaded products. In addition, the associate ensures deliveries are ready upon truck arrival, and assists with loading merchandise, including large appliances. Safety is critical because this associate lifts and moves merchandise for staff and customers frequently throughout his/her shift. Fulfillment Associate(s) assigned to the Pro Department are required to be certified on the following Power Equipment (PE) within 30 days of their start date in the Pro Department: forklifts, pallet jacks and electrical lifts.

Travel Requirements: This role does not require regular travel; however, this role may need to travel on occasion to meetings, trainings, or to support neighboring stores.

What We're Looking For

 Hourly Full Time or Part Time: Generally scheduled 39 to 40 or up to 25 hours per week, respectively; more hours may be required based on the needs of the store.  Requires morning, afternoon and evening availability any day of the week.  Physical ability to perform tasks that may require prolonged standing, sitting, and other activities necessary to perform job duties.  Minimally must be able to lift 25 pounds without assistance; may lift over 25 pounds with or without assistance. 

Minimum Qualifications

What You Need To Succeed

 Ability to read, write, and perform basic arithmetic (addition, subtraction).  6 months of experience using a computer, including inputting, accessing, modifying, or outputting information.  6 months experience using common retail technology, such as smart phones and tablets.  Ability to obtain sales related licensure or registration as may be required by law. 

Preferred Qualifications

 6 months retail experience.  6 months of experience in a customer service or product fulfillment position at a home improvement or hardware retailer in related department (e.g., kitchen, plumbing, electrical, lawn and garden).  6 months experience in any industry inspecting, carrying, loading, and unloading product or material in or out of vehicles. 

Lowe’s is an equal opportunity employer and administers all personnel practices without regard to race, color, religious creed, sex, gender, age, ancestry, national origin, mental or physical disability or medical condition, sexual orientation, gender identity or expression, marital status, military or veteran status, genetic information, or any other category protected under federal, state, or local law.

Starting rate of pay may vary based on factors including, but not limited to, position offered, location, education, training, and/or experience. For information regarding our benefit programs and eligibility, please visit https://talent.lowes.com/us/en/benefits.",,,"Charlottesville, VA",,,Part-time,,,https://www.linkedin.com/jobs/view/3888000705/?trk=jobs_biz_prem_srch,https://talent.lowes.com/us/en/job/JR-01725403/Part-Time-Fulfillment-Associate-Flexible?utm_source=617LinkedInPaidSlots,OffsiteApply,1714967373000.0,,Associate,,PART_TIME,,,
73009,Java Architect,"Who are we?First Derivatives (FD) is a leading software and services company, with world-leading intellectual property in ultra-high-performance analytics (KX) across industries, and extensive domain expertise and capabilities in capital markets systems and technology (managed services and consulting).
Java Architect:
· 15+ years of strong proficiency in OOPS concepts with JAVA and knowledge of RESTful APIs Architecture.· Min. 8 years of experience with Spring Boot, Spring Security, Spring Data, Spring MVC along with Unit Testing, Integration Testing and BDD Testing.· RDBMS knowledge and/or exposure to MS SQL server database.· Authoring of technical documentation that communicates in a clear and detailed fashion the proposed technical solution.· Experience in Performance Analysis and applications tuning.· Excellent understanding of design patterns and microservice architecture.· Hands on experience in Enterprise Integration Patterns (EIP); Exposure with Apache camel or spring integration is considered a plus.· Hands on experience with Kubernetes and exposure in no-SQL databases is considered a plus.
KX technology is designed to capture and analyze data to make real-time decisions in a world where data volumes generated by markets and machines are increasing exponentially, and existing technologies fail due to technological or commercial limitations.
KX is widely adopted throughout the financial industry, and is poised for accelerated growth across high-tech manufacturing, automotive, oil and gas, utilities and telecommunications.
Managed Services and ConsultingFD provides a range of services worldwide to its clients in the capital markets sector, including many of the world’s leading banks, focused on supporting mission-critical systems as well as helping them to achieve and maintain regulatory compliance.
FD provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.",,,"Virginia, United States",,,Full-time,,,https://www.linkedin.com/jobs/view/3902917196/?trk=jobs_biz_prem_srch,,ComplexOnsiteApply,1715868856000.0,,Director,,FULL_TIME,,,
98000,Summer Intern - Cargo,"Would you like the first company you join to be your last? Or are you looking for the perfect sales position with a well-paced sales cycle, motivating working environment, and industry stability? Everyone knows package deals are better than individual ones, here to ACS we provide up to 9 levels of career progression under one umbrella with high earning potential and travel/relocation opportunities! Assist Cargo Jet Charter brokers this summer to break into a niche and exciting industry!
OUR STORYAir Charter Service was established in 1990 in the basement of our Chairman’s home and today employs over 500 people globally, across 27 offices on six continents. We are not just the largest charter brokerage in the world, but also the largest charter family, holding those same values that started this business at the core of everything we do.
We are a charter provider that goes the extra mile to ensure each and every one of our customers experiences service beyond expectation. Whether you are talking to one of our brokers in New York, Mumbai or Beijing, you will find the exemplary service never ends.
Our Cargo team are pivotal in managing charters ranging from elephant to engines, relief to rally cars and anything in between. Whether it be through transporting emergency relief aid or rescuing animals, ACS aids in combining your passion for travel and helping the world community. This wide-ranging variety of Cargo charters means our Brokers have to be both versatile and dynamic.
A DAY IN THE LIFEDevelop new business via telephone and emailFollow-up on qualifying leads and conduct research to identify potential clientsMaintain accurate records in data system, with detailed information on customer contactsMove clients to the next step in the sales processEscalate any issues to line managerWork in conjunction with Cargo Sales Executives to grow the sales pipelineSchedule: Monday to Friday, 9am to 530pm / In-officeThe position is a three month placement with permanent potential
WHAT DO WE LOOK FORAmbition, drive and self-motivationConfidence in developing relationships with clientsExceptional communication skillsA high sense of urgencyA hard-working team playerPassion for AviationExcellent phone etiquette
WHAT IS IN IT FOR YOUCompetitive hourly rateDynamic and fast-growing companyJob stability and leadership support of developmentAward-winning professional training and one-on-one mentoringClear path for career advancement from Trainee Broker to DirectorBalance between independent and team-oriented workA welcoming, enjoyable and interactive environment – seasonal events and team night outings
Check us out on social media!LinkedIn-Facebook-Instagram-TikTok-Twitter-YoutubeDiversity & Inclusion: Air Charter Service Inc. is proud to be an Equal Opportunity and Affirmative Action employer. We celebrate diversity and are committed to creating an inclusive environment for all employees.
WHAT ARE THE NEXT STEPS?Submit your resume to us today and a member from our recruitment team will be in touch!",,,"Uniondale, NY",,,Internship,9.0,,https://www.linkedin.com/jobs/view/3904965967/?trk=jobs_biz_prem_srch,https://jobs.smartrecruiters.com/AirCharterService1/743999981360922-summer-intern-cargo,ComplexOnsiteApply,1716047776000.0,,Entry level,,INTERNSHIP,,,
20857,Driver License Examiner w/CDL (Reading),"THE POSITION

Drive your career forward! The Department of Transportation is seeking a Driver License Examiner to conduct standardized knowledge and skills examinations to evaluate the skill and competence of non-commercial and Commercial Driver License (CDL) applicants. Being bilingual in Spanish would be a great benefit.

The hiring office for this posting has a continuing need for Spanish speaking applicants. Individuals fluent in both English and Spanish are encouraged to apply. Individuals hired for these positions provide information and assistance to Spanish-speaking customers.

DESCRIPTION OF WORK

In this position you will conduct standardized On Road examinations to evaluate the skill and competence of Non-Commercial Driver License and Commercial Driver License applicants safely and courteously. You will d etermine the physical conditions and driving qualifications of an applicant and the mechanical condition of vehicles in conformance with established guidelines and standards.

You will also perform pre-trip inspections of vehicles before administering the driving tests and checks motor vehicles for inspection stickers, lights, windshield wipers and other mechanical features to ensure safety and for knowledge of the controls by the applicant. Examines applications, registrations and permits for possible irregularities and fraud.

You will administer the CDL and Non-CDL knowledge examination that tests applicants for knowledge and understanding of the motor vehicle code and traffic signs. Evaluate the applicant's ability in practical demonstration of motor vehicle operation and observance of the rules of the road.

Upon request of the Driver License Division Management Team, audits Third Party Examiners for contract compliance by either having the Third Party Examiner administer a CDL skills test to the Department Examiner in a representative vehicle or scoring along with the Third Party Examiner while administering a CDL skills test to an applicant. You will administer telebinocular, color perception, and other tests of vision. Strictly adheres to all aspects of the Driver and Vehicle Services Customer Service Policy.

Work Schedule and Additional Information:

 Full-time employment.  Work hours are 8:15 AM to 4:45 PM, Tuesday - Saturday, with 30-minute lunch.  Overtime and travel required.  Salary:In some cases, the starting salary may be non-negotiable.  You will receive further communication regarding this position via email. Check your email, including spam/junk folders, for these notices. 

QUALIFICATIONS

REQUIRED EXPERIENCE, TRAINING & ELIGIBILITY

Minimum Experience and Training Requirements:

One year of experience as a Driver License Examiner Assistant (commonwealth title); orTwo years of experience obtaining, evaluating, and providing information to the public.

Special Requirements: 

All positions require an active Pennsylvania non-commercial Class C Driver’s License or equivalent and twenty-one years of age at the time of application.All positions require no suspensions or revocations of a driver’s license during the five year period immediately preceding employment.All employees in this job hired after February 28, 2022, are required to obtain an active unrestricted Class M driver’s license within the first six months of employment or before the end of the probationary period and maintain it during employment.Possession of an active Class A Pennsylvania Commercial Driver's License or equivalent with the following endorsements: P and N. The Commercial Driver License cannot have any of the following restrictions: E, L, N, O, or Z.

Other Requirements:

You must meet the PA residency requirement . For more information on ways to meet PA residency requirements, follow the link and click on Residency. You must be able to perform essential job functions.

Legal Requirements: 

This position requires the selected candidate to undergo and pass a Fingerprint and Name-Based Criminal History Check prior to employment. 

 How to Apply: 

 Resumes, cover letters, and similar documents will not be reviewed, and the information contained therein will not be considered for the purposes of determining your eligibility for the position. Information to support your eligibility for the position must be provided on the application (i.e., relevant, detailed experience/education).  If you are claiming education in your answers to the supplemental application questions, you must attach a copy of your college transcripts for your claim to be accepted toward meeting the minimum requirements. Unofficial transcripts are acceptable.  Your application must be submitted by the posting closing date . Late applications and other required materials will not be accepted. Failure to comply with the above application requirements may eliminate you from consideration for this position. 

 Veterans: 

 Pennsylvania law (51 Pa. C.S.7103) provides employment preference for qualified veterans for appointment to many state and local government jobs. To learn more about employment preferences for veterans, go to www.employment.pa.gov/Additional%20Info/Pages/default.aspx and click the Veterans’ Preference tab or contact us at ra-cs-vetpreference@pa.gov . 

 Telecommunications Relay Service (TRS): 

 711 (hearing and speech disabilities or other individuals). 

If you are contacted for an interview and need accommodations due to a disability, please discuss your request for accommodations with the interviewer in advance of your interview date.

The Commonwealth is an equal employment opportunity employer and is committed to a diverse workforce. The Commonwealth values inclusion as we seek to recruit, develop, and retain the most qualified people to serve the citizens of Pennsylvania. The Commonwealth does not discriminate on the basis of race, color, religious creed, ancestry, union membership, age, gender, sexual orientation, gender identity or expression, national origin, AIDS or HIV status, disability, or any other categories protected by applicable federal or state law. All diverse candidates are encouraged to apply.



EXAMINATION INFORMATION

 Completing the application, including all supplemental questions, serves as your exam for this position. No additional exam is required at a test center (also referred to as a written exam).  Your score is based on the detailed information you provide on your application and in response to the supplemental questions.  Your score is valid for this specific posting only.  You must provide complete and accurate information or: your score may be lower than deserved.  you may be disqualified.  You may only apply/test once for this posting.  Your results will be provided via email.",,,"Berks County, PA",,,Full-time,,,https://www.linkedin.com/jobs/view/3889290163/?trk=jobs_biz_prem_srch,https://www.governmentjobs.com/careers/pabureau/jobs/4461224/driver-license-examiner-w-cdl-reading,OffsiteApply,1715243806000.0,,Entry level,,FULL_TIME,,,
123785,Trade Marketing Manager,"Who We Are Asmodee is an entertainment leader specialized in boardgames. We’re a global team committed to bringing people together through great games and amazing stories. We strive to be an employer of choice by creating endless opportunities, promoting a supportive and inclusive culture, and rewarding success. We believe in passion. We stimulate creativity. We emphasize team play. We exhibit caring. We demonstrate integrity. We are boldly daring. By joining our team, you will be empowered to engage in meaningful, innovative and unforgettable work and to give back to our communities!  What You'll Do We are on the lookout for an enthusiastic and talented Trade Marketing Manager to create and partner with the sales team in Hobby and Toy & Gift channels on their go-to-market strategy. Through the execution of trade programs, merchandising, trade shows, sales tools, sales training and B2B communication, this role will drive us towards our goal of increasing sales revenue - guided by insights and a strong shopper understanding.  Essential Functions Participate in building the go-to-market strategy for the Hobby and Toy & Gift channels building. Effectively project manage all trade marketing program aspects, including sales promotions, display creation, and B2B communications. Maintain a close working relationship with company’s sales teams, ensuring both departments are aligned in their efforts, while assisting sales to achieve specific goals. Leverage retailer, shopper and consumer insights and translate findings into action for Hobby and Toy & Gift channels. Track and evaluate results and adapt processes and materials accordingly. Develop reporting standards and KPI metrics to track and communicate performance (ROI, sales lift, POS analytics). Deliver quarterly updates on trade programs. Responsible for B2B and B2C newsletter creation for Hobby and Toy & Gift while tracking KPI’s, creating cohesive stories utilizing data and content from owned editorial calendar. Drive customer specific campaigns and shape how to activate at retailers instore, digital as well as meaningfully bridging online to offline for omni-players. Coordinate creation and distribution of online assets necessary for brand pages, store fronts home page banners, upcoming and new product carrousels, seasonal offerings, and other needs as they appear. Organize and deliver assets to necessary teams. Other duties as assigned. 
What Makes You Successful
Education/Experience:Bachelors degree in Marketing, Business, or related field.At least five (5) years of professional marketing experience.Excellent knowledge of PowerPoint and Excel.Some experience with image editing preferred.In depth knowledge/experience of consumer marketing trends/focused channel work Minimum Qualifications:Enjoys a fast-paced environment with tight deadlines and frequent high-peak times.Detail oriented and extremely well organized.Excellent collaboration and interpersonal skills.Drives for results- championing effectiveness and data centricity, bravery to test hypotheses and ability to turn learnings into action.Track record of designing and rolling out innovative projects in Trade MarketingCommercial savvy, strong shopper first thinking, deep understanding of omnichannel Trade MarketingStrong communications background in writing to different audiencesTrustworthy with highly confidential materials.US travel required up to five weeks of the year (10% of time). What You’ll Be a Part Of At Asmodee, we believe that great games and amazing stories have the power to bring people together. Strong communities are formed around the game table through the entertainment of game play. Shared play sparks discussions, fosters imagination and creates memories. As a leader of our industry, we have the responsibility to help these communities thrive. Asmodee exists to bring people together in a sustainable and positive way for individuals, communities and our planet.   What To Expect From Us 22 Days of PTO Annually 10 Paid Holidays Medical, Dental, Vision & Life Insurance Competitive 401K Match Paid Parental Leave 2 Paid Volunteer Days Off Flexible & Hybrid Schedules Extensive Game Discounts $250 Annually in Game Bucks Career Growth & Development Mental Health Programs Virtual Healthcare Options Employee Assistance Program Employee Referral Program  Our Commitment Asmodee’s purpose is Bringing People Together. To us that means all kinds of people, no matter their perceived differences. We strive to create a workplace where everyone feels empowered to show up as their full and authentic selves. We seek to support our diverse community of players by creating representative gaming experiences that celebrate a variety of backgrounds, skills, and views. Diversity and Inclusion fuels our creativity and promotes internal and external equity which allows us to continue in our efforts to bring people together around the game table. Games are for everyone.",,,"Lino Lakes, MN",,,Full-time,,,https://www.linkedin.com/jobs/view/3906262611/?trk=jobs_biz_prem_srch,https://www.paycomonline.net/v4/ats/web.php/jobs/ViewJobDetails?job=68758&clientkey=6A93654F7D1F8C1343C0465EEFFCF797,OffsiteApply,1716162814000.0,,Mid-Senior level,,FULL_TIME,,,
